issue,openTime,pool_full_size,pool_size_drop0,cover_full_drop0,hit_drop0_top15,hit_drop0_top20,hit_drop0_top25,hit_drop0_top30,hit_drop0_top40,pool_size_drop10,cover_full_drop10,hit_drop10_top15,hit_drop10_top20,hit_drop10_top25,hit_drop10_top30,hit_drop10_top40,pool_size_drop20,cover_full_drop20,hit_drop20_top15,hit_drop20_top20,hit_drop20_top25,hit_drop20_top30,hit_drop20_top40,pool_size_drop30,cover_full_drop30,hit_drop30_top15,hit_drop30_top20,hit_drop30_top25,hit_drop30_top30,hit_drop30_top40,pool_size_drop40,cover_full_drop40,hit_drop40_top15,hit_drop40_top20,hit_drop40_top25,hit_drop40_top30,hit_drop40_top40,pool_size_drop50,cover_full_drop50,hit_drop50_top15,hit_drop50_top20,hit_drop50_top25,hit_drop50_top30,hit_drop50_top40
2021017,2021-01-17,66,66,14,1,2,3,4,7,56,11,1,2,3,4,7,46,8,1,2,3,4,7,36,6,1,2,3,4,6,26,3,1,2,3,3,3,16,1,1,1,1,1,1
2021018,2021-01-18,70,70,17,4,6,8,9,12,60,16,4,6,8,9,12,50,16,4,6,8,9,12,40,13,4,6,8,9,13,30,10,4,6,8,10,10,20,8,6,8,8,8,8
2021019,2021-01-19,65,65,19,1,4,5,8,11,55,17,1,4,5,8,11,45,14,1,4,5,8,11,35,8,1,4,5,7,8,25,5,1,3,5,5,5,15,1,1,1,1,1,1
2021020,2021-01-20,71,71,18,5,6,9,10,11,61,16,5,6,9,10,11,51,13,5,6,9,10,11,41,11,5,6,9,10,11,31,10,5,6,9,10,10,21,7,5,7,7,7,7
2021021,2021-01-21,68,68,17,4,6,7,8,11,58,15,4,6,7,8,11,48,13,4,6,7,8,11,38,9,4,6,7,8,9,28,7,4,6,6,7,7,18,5,4,5,5,5,5
2021022,2021-01-22,65,65,18,4,7,8,8,12,55,15,4,7,8,8,12,45,14,4,7,8,8,12,35,10,4,7,8,8,10,25,6,4,6,6,6,6,15,6,6,6,6,6,6
2021023,2021-01-23,66,66,16,3,4,6,8,8,56,12,3,4,6,8,8,46,9,3,4,6,8,8,36,8,3,4,6,8,8,26,6,3,4,6,6,6,16,3,3,3,3,3,3
2021024,2021-01-24,69,69,17,6,6,6,7,9,59,15,6,6,6,7,9,49,12,6,6,6,7,9,39,8,6,6,6,7,8,29,6,6,6,6,6,6,19,5,5,5,5,5,5
2021025,2021-01-25,70,70,17,2,4,5,8,11,60,16,2,4,5,8,11,50,12,2,4,5,8,11,40,11,2,4,5,8,11,30,7,2,4,6,7,7,20,4,2,4,4,4,4
2021026,2021-01-26,67,67,15,4,7,7,7,8,57,15,4,7,7,7,8,47,12,4,7,7,7,8,37,9,4,7,7,7,9,27,7,4,7,7,7,7,17,4,4,4,4,4,4
